Título;;;;;;;;;;
V: Tipo de vivienda;;;;;;;;;;
Área Geográfica;;;;;;;;;;
Lima;;;;;;;;;;
Universo;;;;;;;;;;
Viviendas Particulares;;;;;;;;;;
;;;;;;;;;;
;Código;Distrito;Casa Independiente;Departamento en edificio;Vivienda en quinta;Vivienda en casa de vecindad (Callejón, solar o corralón);Choza o cabaña;Vivienda improvisada;Local no destinado para habitación humana;
;151005;Lima, Yauyos, distrito: Azangaro;    348;    0;    0;    0;    0;    0;    1;
;151006;Lima, Yauyos, distrito: Cacra;    424;    0;    0;    0;    0;    5;    3;
;151007;Lima, Yauyos, distrito: Carania;    229;    0;    2;    0;    9;    0;    0;
;151008;Lima, Yauyos, distrito: Catahuasi;    628;    0;    0;    0;    18;    0;    0;
;151009;Lima, Yauyos, distrito: Chocos;    579;    0;    0;    0;    3;    10;    0;
;151010;Lima, Yauyos, distrito: Cochas;    116;    0;    0;    0;    14;    0;    0;
;151011;Lima, Yauyos, distrito: Colonia;    963;    0;    0;    27;    18;    9;    0;
;151012;Lima, Yauyos, distrito: Hongos;    255;    0;    0;    0;    0;    0;    1;
;151013;Lima, Yauyos, distrito: Huampara;    241;    0;    0;    5;    0;    0;    1;
;151014;Lima, Yauyos, distrito: Huancaya;    279;    0;    0;    0;    22;    0;    0;
;151015;Lima, Yauyos, distrito: Huangascar;    429;    0;    0;    0;    5;    7;    0;
;151016;Lima, Yauyos, distrito: Huantan;    517;    0;    0;    0;    17;    0;    0;
;151017;Lima, Yauyos, distrito: Huañec;    377;    0;    0;    0;    0;    0;    0;
;151018;Lima, Yauyos, distrito: Laraos;    442;    0;    0;    0;    9;    0;    1;
;151019;Lima, Yauyos, distrito: Lincha;    337;    0;    0;    0;    0;    0;    0;
;151020;Lima, Yauyos, distrito: Madean;    487;    0;    0;    0;    21;    0;    0;
;151021;Lima, Yauyos, distrito: Miraflores;    204;    0;    0;    0;    0;    0;    0;
;151022;Lima, Yauyos, distrito: Omas;    568;    0;    0;    0;    0;    0;    0;
;151023;Lima, Yauyos, distrito: Putinza;    294;    0;    0;    0;    0;    0;    0;
;151024;Lima, Yauyos, distrito: Quinches;    864;    0;    0;    13;    2;    0;    2;
;151025;Lima, Yauyos, distrito: Quinocay;    376;    0;    0;    0;    48;    0;    0;
;151026;Lima, Yauyos, distrito: San Joaquín;    128;    0;    0;    0;    0;    0;    1;
;151027;Lima, Yauyos, distrito: San Pedro de Pilas;    381;    0;    0;    0;    0;    0;    0;
